state,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
nh,2018,11000,9000,18000,7000,8000,11000,12000,9000,10000,9000,9000,9000
nh,2019,8000,7000,9000,9000,10000,9000,8000,9000,9000,10000,10000,10000
nh,2020,9000,10000,64000,47000,12000,10000,8000,6000,6000,13000,9000,9000
nh,2021,9000,9000,7000,7000,7000,5000,8000,9000,7000,7000,11000,7000
nh,2022,9000,7000,8000,7000,8000,8000,8000,9000,9000,16000,9000,9000
nh,2023,15000,9000,10000,8000,8000,7000,9000,7000,6000,12000,8000,8000
nh,2024,10000,11000,9000,10000,10000,11000,14000,8000,9000,6000,8000,7000
nh,2025,8000,10000,8000,9000,9000,9000,11000,12000,,,,
me,2018,11000,7000,9000,7000,8000,19000,19000,11000,9000,10000,8000,9000
me,2019,9000,9000,9000,9000,9000,10000,7000,8000,8000,11000,10000,8000
me,2020,8000,8000,54000,39000,12000,11000,9000,6000,6000,8000,8000,9000
me,2021,9000,8000,6000,7000,7000,6000,7000,6000,6000,6000,7000,5000
me,2022,6000,6000,5000,6000,6000,8000,6000,7000,6000,7000,5000,7000
me,2023,10000,6000,10000,7000,6000,6000,7000,6000,5000,16000,7000,8000
me,2024,7000,8000,8000,7000,7000,7000,9000,8000,8000,6000,6000,7000
me,2025,8000,9000,9000,8000,10000,10000,9000,11000,,,,
pa,2018,60000,73000,115000,54000,72000,78000,79000,67000,97000,70000,69000,69000
pa,2019,54000,61000,63000,76000,109000,66000,59000,68000,64000,87000,89000,88000
pa,2020,93000,66000,615000,421000,109000,120000,59000,60000,33000,54000,63000,106000
pa,2021,75000,79000,54000,48000,63000,47000,55000,40000,53000,61000,66000,42000
pa,2022,59000,40000,39000,48000,30000,48000,78000,49000,37000,42000,38000,52000
pa,2023,64000,62000,67000,38000,47000,64000,45000,48000,38000,65000,50000,56000
pa,2024,68000,61000,82000,99000,70000,62000,84000,75000,58000,59000,69000,45000
pa,2025,45000,56000,38000,49000,62000,52000,67000,73000,,,,
sd,2018,5000,5000,5000,7000,7000,5000,6000,5000,7000,6000,11000,6000
sd,2019,5000,5000,4000,6000,4000,4000,5000,5000,5000,5000,6000,5000
sd,2020,5000,7000,39000,20000,5000,5000,4000,5000,5000,6000,7000,4000
sd,2021,4000,4000,4000,4000,3000,4000,4000,4000,3000,4000,4000,3000
sd,2022,4000,3000,3000,4000,5000,4000,4000,4000,5000,5000,4000,6000
sd,2023,5000,5000,6000,7000,5000,5000,6000,5000,6000,4000,5000,4000
sd,2024,5000,6000,5000,5000,5000,5000,6000,6000,5000,4000,5000,6000
sd,2025,6000,6000,5000,5000,5000,6000,6000,6000,,,,
ut,2018,26000,33000,25000,21000,18000,20000,20000,18000,16000,23000,27000,30000
ut,2019,27000,15000,28000,32000,23000,20000,24000,20000,19000,21000,17000,18000
ut,2020,17000,19000,112000,79000,21000,23000,18000,18000,27000,13000,18000,18000
ut,2021,16000,13000,14000,14000,13000,12000,19000,12000,14000,11000,13000,13000
ut,2022,15000,14000,9000,11000,15000,17000,16000,17000,18000,20000,16000,15000
ut,2023,19000,14000,19000,18000,18000,17000,21000,18000,17000,16000,21000,21000
ut,2024,18000,21000,20000,22000,28000,18000,19000,25000,20000,21000,21000,14000
ut,2025,18000,29000,23000,18000,22000,29000,23000,21000,,,,
ny,2018,180000,113000,106000,102000,92000,123000,87000,113000,109000,122000,120000,95000
ny,2019,111000,87000,92000,118000,88000,139000,124000,133000,118000,126000,109000,126000
ny,2020,98000,130000,892000,671000,140000,111000,107000,81000,69000,98000,84000,96000
ny,2021,109000,163000,92000,70000,83000,56000,76000,65000,53000,75000,84000,56000
ny,2022,79000,92000,76000,116000,102000,78000,37000,87000,101000,66000,73000,75000
ny,2023,111000,88000,93000,102000,91000,98000,125000,95000,101000,128000,102000,96000
ny,2024,96000,97000,94000,72000,85000,79000,99000,104000,130000,48000,112000,93000
ny,2025,77000,103000,66000,95000,102000,100000,112000,173000,,,,
ia,2018,15000,18000,16000,16000,19000,23000,16000,18000,20000,18000,22000,18000
ia,2019,16000,18000,13000,23000,15000,25000,20000,23000,15000,17000,20000,18000
ia,2020,17000,21000,112000,68000,22000,22000,20000,20000,20000,24000,22000,11000
ia,2021,12000,15000,12000,13000,12000,12000,12000,13000,18000,15000,19000,16000
ia,2022,16000,12000,11000,11000,15000,12000,13000,16000,13000,16000,13000,18000
ia,2023,18000,18000,18000,21000,18000,26000,18000,17000,16000,14000,13000,14000
ia,2024,15000,17000,17000,19000,15000,13000,18000,18000,16000,10000,17000,16000
ia,2025,18000,14000,18000,14000,17000,18000,17000,17000,,,,
ok,2018,19000,16000,17000,18000,17000,19000,21000,21000,24000,25000,24000,35000
ok,2019,21000,23000,22000,18000,20000,22000,22000,21000,18000,17000,17000,19000
ok,2020,18000,25000,135000,80000,29000,31000,21000,17000,14000,16000,19000,17000
ok,2021,17000,16000,15000,18000,13000,16000,16000,18000,18000,16000,22000,17000
